Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
237,Kamar Aiken,BAL,WR,16,0,0,0,0,0,24,267,3,0,2.8,44.7
238,Jordan Reed,WAS,TE,11,0,0,0,0,0,50,465,0,1,4,44.5
239,Michael Vick,NYJ,QB,10,604,3,2,153,0,0,0,0,2,4.3,43.46
240,Donald Brown,LAC,RB,13,0,0,0,223,0,29,211,0,0,3.3,43.4
241,John Carlson,ARI,TE,16,0,0,0,0,0,33,350,1,0,2.7,43
242,Chris Polk,PHI,RB,14,0,0,0,172,4,2,16,0,0,3.1,42.8
243,Jeff Cumberland,NYJ,TE,16,0,0,0,0,0,23,247,3,0,2.7,42.7
244,Charles Sims,TB,RB,8,0,0,0,185,1,19,190,0,1,5.2,41.5
245,Jason Avant,KC,WR,16,0,0,0,1,0,34,353,1,0,2.6,41.4
246,Damaris Johnson,HOU,WR,16,0,0,0,19,0,31,331,1,0,2.6,41
247,Daniel Thomas,MIA,RB,12,0,0,0,168,2,13,121,0,1,3.4,40.9
248,Daniel Fells,NYG,TE,16,0,0,0,0,0,16,188,4,1,2.6,40.8
249,Dion Sims,MIA,TE,14,0,0,0,0,0,24,284,2,0,2.9,40.4
250,Darrel Young,WAS,FB,16,0,0,0,22,3,11,81,2,0,2.5,40.3
251,Brice Butler,OAK,WR,15,0,0,0,0,0,21,280,2,0,2.7,40
252,Victor Cruz,NYG,WR,6,0,0,0,0,0,23,337,1,0,6.6,39.7
253,Marcel Reece,OAK,FB,15,0,0,0,85,0,37,265,1,1,2.6,39
254,Brent Celek,PHI,TE,16,0,0,0,0,0,32,340,1,1,2.4,38
255,Damien Williams,MIA,RB,16,0,0,0,122,0,21,187,1,0,2.3,36.9
255,Vernon Davis,SF,TE,14,0,0,0,4,0,26,245,2,0,2.6,36.9
257,Dexter McCluster,TEN,RB,14,0,0,0,131,0,26,197,1,1,2.6,36.8
258,Brandon Gibson,MIA,WR,14,0,0,0,0,0,29,295,1,0,2.5,35.5
259,Brandon Lloyd,SF,WR,14,0,0,0,0,0,14,294,1,0,2.5,35.4
260,Kyle Rudolph,MIN,TE,9,0,0,0,0,0,24,231,2,0,3.9,35.1
261,Jaron Brown,ARI,WR,15,0,0,0,0,0,22,229,2,0,2.3,34.9
262,Clay Harbor,JAX,TE,13,0,0,0,0,0,26,288,1,0,2.7,34.8
262,Travaris Cadet,NO,RB,15,0,0,0,32,0,38,296,1,2,2.3,34.8
264,Gavin Escobar,DAL,TE,16,0,0,0,0,0,9,105,4,0,2.2,34.5
264,Richard Rodgers,GB,TE,16,0,0,0,0,0,20,225,2,0,2.2,34.5
266,Levine Toilolo,ATL,TE,16,0,0,0,0,0,31,238,2,1,2.1,33.8
266,Lance Moore,PIT,WR,14,0,0,0,0,0,14,198,2,0,2.4,33.8
268,Jeremy Ross,DET,WR,16,0,0,0,-1,0,24,314,1,2,2.1,33.3
269,Paul Richardson,SEA,WR,15,0,0,0,0,0,29,271,1,0,2.2,33.1
270,Marcedes Lewis,JAX,TE,8,0,0,0,0,0,18,206,2,0,4.1,32.6
270,De'Anthony Thomas,KC,WR,12,0,0,0,110,1,23,156,0,0,2.7,32.6
272,Fozzy Whittaker,CAR,RB,10,0,0,0,145,1,5,60,1,0,3.2,32.5
273,Austin Seferian-Jenkins,TB,TE,9,0,0,0,0,0,21,221,2,1,3.6,32.1
274,Chase Ford,MIN,TE,11,0,0,0,0,0,23,258,1,0,2.9,31.8
275,Ricardo Lockette,SEA,WR,16,0,0,0,2,0,11,195,2,0,2,31.7
276,Lance Dunbar,DAL,RB,16,0,0,0,99,0,18,217,0,0,2,31.6
276,Leon Washington,TEN,RB,16,0,0,0,57,0,22,159,2,1,2,31.6
278,Derek Hagan,TEN,WR,16,0,0,0,0,0,19,254,1,0,2,31.4
279,Eric Ebron,DET,TE,13,0,0,0,0,0,25,248,1,0,2.4,30.8
